ORDER_ID,CUSTOMER_ID,EVENT_TYPE,TIMESTAMP
10001,CUST001,ORDER_PLACED,1705058401000
10002,CUST002,ORDER_PLACED,1705058402000
10003,CUST003,ORDER_PLACED,1705058403000
10004,CUST004,ORDER_PLACED,1705058404000
10005,CUST005,ORDER_PLACED,1705058405000
10006,CUST006,ORDER_PLACED,1705058406000
10007,CUST007,ORDER_PLACED,1705058407000
10008,CUST008,ORDER_PLACED,1705058408000
10009,CUST009,ORDER_PLACED,1705058409000
10010,CUST010,ORDER_PLACED,1705058410000
10011,CUST011,ORDER_PLACED,1705058411000
10012,CUST012,ORDER_PLACED,1705058412000
10013,CUST013,ORDER_PLACED,1705058413000
10014,CUST014,ORDER_PLACED,1705058414000
10015,CUST015,ORDER_PLACED,1705058415000
10016,CUST016,ORDER_PLACED,1705058416000
10017,CUST017,ORDER_PLACED,1705058417000
10018,CUST018,ORDER_PLACED,1705058418000
10019,CUST019,ORDER_PLACED,1705058419000
10020,CUST020,ORDER_PLACED,1705058420000
10021,CUST021,ORDER_PLACED,1705058421000
10022,CUST022,ORDER_PLACED,1705058422000
10023,CUST023,ORDER_PLACED,1705058423000
10024,CUST024,ORDER_PLACED,1705058424000
10025,CUST025,ORDER_PLACED,1705058425000
10026,CUST026,ORDER_PLACED,1705058426000
10027,CUST027,ORDER_PLACED,1705058427000
10028,CUST028,ORDER_PLACED,1705058428000
10029,CUST029,ORDER_PLACED,1705058429000
10030,CUST030,ORDER_PLACED,1705058430000
10031,CUST031,ORDER_PLACED,1705058431000
10032,CUST032,ORDER_PLACED,1705058432000
10033,CUST033,ORDER_PLACED,1705058433000
10034,CUST034,ORDER_PLACED,1705058434000
10035,CUST035,ORDER_PLACED,1705058435000
10036,CUST036,ORDER_PLACED,1705058436000
10037,CUST037,ORDER_PLACED,1705058437000
10038,CUST038,ORDER_PLACED,1705058438000
10039,CUST039,ORDER_PLACED,1705058439000
10040,CUST040,ORDER_PLACED,1705058440000
10041,CUST041,ORDER_PLACED,1705058441000
10042,CUST042,ORDER_PLACED,1705058442000
10043,CUST043,ORDER_PLACED,1705058443000
10044,CUST044,ORDER_PLACED,1705058444000
10045,CUST045,ORDER_PLACED,1705058445000
10046,CUST046,ORDER_PLACED,1705058446000
10047,CUST047,ORDER_PLACED,1705058447000
10048,CUST048,ORDER_PLACED,1705058448000
10049,CUST049,ORDER_PLACED,1705058449000
10050,CUST050,ORDER_PLACED,1705058450000
10051,CUST051,ORDER_PLACED,1705058451000
10052,CUST052,ORDER_PLACED,1705058452000
10053,CUST053,ORDER_PLACED,1705058453000
10054,CUST054,ORDER_PLACED,1705058454000
10055,CUST055,ORDER_PLACED,1705058455000
10056,CUST056,ORDER_PLACED,1705058456000
10057,CUST057,ORDER_PLACED,1705058457000
10058,CUST058,ORDER_PLACED,1705058458000
10059,CUST059,ORDER_PLACED,1705058459000
10060,CUST060,ORDER_PLACED,1705058460000
10061,CUST061,ORDER_PLACED,1705058461000
10062,CUST062,ORDER_PLACED,1705058462000
10063,CUST063,ORDER_PLACED,1705058463000
10064,CUST064,ORDER_PLACED,1705058464000
10065,CUST065,ORDER_PLACED,1705058465000
10066,CUST066,ORDER_PLACED,1705058466000
10067,CUST067,ORDER_PLACED,1705058467000
10068,CUST068,ORDER_PLACED,1705058468000
10069,CUST069,ORDER_PLACED,1705058469000
10070,CUST070,ORDER_PLACED,1705058470000
10071,CUST071,ORDER_PLACED,1705058471000
10072,CUST072,ORDER_PLACED,1705058472000
10073,CUST073,ORDER_PLACED,1705058473000
10074,CUST074,ORDER_PLACED,1705058474000
10075,CUST075,ORDER_PLACED,1705058475000
10076,CUST076,ORDER_PLACED,1705058476000
10077,CUST077,ORDER_PLACED,1705058477000
10078,CUST078,ORDER_PLACED,1705058478000
10079,CUST079,ORDER_PLACED,1705058479000
10080,CUST080,ORDER_PLACED,1705058480000
10081,CUST081,ORDER_PLACED,1705058481000
10082,CUST082,ORDER_PLACED,1705058482000
10083,CUST083,ORDER_PLACED,1705058483000
10084,CUST084,ORDER_PLACED,1705058484000
10085,CUST085,ORDER_PLACED,1705058485000
10086,CUST086,ORDER_PLACED,1705058486000
10087,CUST087,ORDER_PLACED,1705058487000
10088,CUST088,ORDER_PLACED,1705058488000
10089,CUST089,ORDER_PLACED,1705058489000
10090,CUST090,ORDER_PLACED,1705058490000
10091,CUST091,ORDER_PLACED,1705058491000
10092,CUST092,ORDER_PLACED,1705058492000
10093,CUST093,ORDER_PLACED,1705058493000
10094,CUST094,ORDER_PLACED,1705058494000
10095,CUST095,ORDER_PLACED,1705058495000
10096,CUST096,ORDER_PLACED,1705058496000
10097,CUST097,ORDER_PLACED,1705058497000
10098,CUST098,ORDER_PLACED,1705058498000
